Disease,Symptom,HealthTips
Parkinson's disease,"[""dizziness"", ""tremor"", ""confusion"", ""dizziness"", ""diarrhea""]",Practice stress-reducing techniques like meditation. Maintain hygiene to prevent infections.
Diabetes mellitus,"[""joint pain"", ""headache"", ""loss of taste"", ""seizure"", ""tremor"", ""cough""]",Practice stress-reducing techniques like meditation.
Stroke,"[""swelling"", ""agitation"", ""cough"", ""blurred vision"", ""weight loss"", ""fever"", ""seizure"", ""nausea""]",Get adequate rest and sleep. Maintain hygiene to prevent infections.
Hypothyroidism,"[""loss of smell"", ""swelling"", ""chill"", ""cough"", ""constipation""]",Stay informed and get vaccinated when available.
Gastroenteritis,"[""fatigue"", ""shortness of breath"", ""joint pain""]",Ensure regular check-ups with your healthcare provider. Maintain a balanced diet and stay hydrated.
Stroke,"[""chest pain"", ""chill"", ""palpitations"", ""loss of taste"", ""diarrhea"", ""weight loss"", ""tremor"", ""blurred vision""]",Avoid known triggers and allergens.
Migraine,"[""confusion"", ""night sweats"", ""vomiting""]",Follow prescribed medication schedules carefully.
Rheumatoid arthritis,"[""dizziness"", ""muscle twitch"", ""headache"", ""rash"", ""sleeplessness"", ""swelling"", ""shortness of breath""]",Get adequate rest and sleep. Follow prescribed medication schedules carefully.
Pneumocystis carinii pneumonia,"[""fever"", ""diarrhea"", ""swelling"", ""rash""]",Maintain a balanced diet and stay hydrated. Quit smoking and avoid alcohol consumption.
Hypertension,"[""constipation"", ""chill"", ""confusion"", ""dizziness"", ""headache"", ""muscle twitch"", ""loss of taste""]",Maintain hygiene to prevent infections. Get adequate rest and sleep.
Epilepsy,"[""nausea"", ""tremor"", ""shortness of breath"", ""cough"", ""palpitations"", ""chest pain"", ""loss of taste"", ""loss of smell""]",Engage in regular physical activity appropriate to your condition.
Adhesion,"[""seizure"", ""muscle twitch"", ""headache""]",Stay informed and get vaccinated when available.
Diabetes mellitus,"[""weight loss"", ""chest pain"", ""chill"", ""constipation"", ""palpitations"", ""dizziness"", ""seizure"", ""blurred vision""]",Practice stress-reducing techniques like meditation.
Stroke,"[""swelling"", ""rash"", ""chill"", ""fever"", ""nausea"", ""shortness of breath"", ""dizziness""]",Avoid known triggers and allergens.
Hypothyroidism,"[""dizziness"", ""chest pain"", ""rash"", ""headache"", ""tremor""]",Engage in regular physical activity appropriate to your condition.
Pneumocystis carinii pneumonia,"[""swelling"", ""tremor"", ""confusion"", ""fatigue""]",Maintain a balanced diet and stay hydrated.
Asthma,"[""agitation"", ""loss of taste"", ""loss of smell"", ""chest pain"", ""dizziness""]",Maintain a balanced diet and stay hydrated.
Coronary artery disease,"[""constipation"", ""diarrhea"", ""palpitations"", ""swelling"", ""nausea"", ""muscle twitch""]",Follow prescribed medication schedules carefully.
Tuberculosis,"[""sleeplessness"", ""palpitations"", ""fatigue"", ""blurred vision""]",Engage in regular physical activity appropriate to your condition. Follow prescribed medication schedules carefully.
Coronary artery disease,"[""chill"", ""muscle twitch"", ""nausea"", ""constipation""]",Stay informed and get vaccinated when available.
Coronary artery disease,"[""rash"", ""night sweats"", ""swelling"", ""vomiting""]",Engage in regular physical activity appropriate to your condition.
Epilepsy,"[""rash"", ""fatigue"", ""constipation""]",Get adequate rest and sleep. Stay informed and get vaccinated when available.
Rheumatoid arthritis,"[""fatigue"", ""shortness of breath"", ""swelling"", ""seizure"", ""headache""]",Avoid known triggers and allergens.
Rheumatoid arthritis,"[""chill"", ""dizziness"", ""sleeplessness"", ""dizziness"", ""diarrhea"", ""cough""]",Avoid known triggers and allergens.
Hypertension,"[""sleeplessness"", ""vomiting"", ""joint pain"", ""headache"", ""fever"", ""blurred vision"", ""chest pain""]",Maintain a balanced diet and stay hydrated.
Depression,"[""chill"", ""muscle twitch"", ""chest pain"", ""vomiting"", ""loss of taste""]",Quit smoking and avoid alcohol consumption. Stay informed and get vaccinated when available.
Tuberculosis,"[""joint pain"", ""vomiting"", ""chest pain"", ""chill"", ""blurred vision"", ""seizure""]",Maintain a balanced diet and stay hydrated. Practice stress-reducing techniques like meditation.
Anemia,"[""agitation"", ""loss of taste"", ""fever""]",Engage in regular physical activity appropriate to your condition. Get adequate rest and sleep.
Tuberculosis,"[""dizziness"", ""muscle twitch"", ""dizziness""]",Maintain a balanced diet and stay hydrated.
Alzheimer's disease,"[""sleeplessness"", ""night sweats"", ""loss of smell"", ""joint pain"", ""headache"", ""constipation""]",Avoid known triggers and allergens.
Adhesion,"[""chill"", ""fatigue"", ""headache""]",Maintain hygiene to prevent infections.
Asthma,"[""sleeplessness"", ""shortness of breath"", ""headache""]",Ensure regular check-ups with your healthcare provider.
Depression,"[""confusion"", ""tremor"", ""blurred vision"", ""weight loss"", ""sore throat"", ""night sweats"", ""joint pain"", ""chill""]",Maintain hygiene to prevent infections.
Gastroenteritis,"[""agitation"", ""chill"", ""fever"", ""chest pain"", ""night sweats"", ""dizziness""]",Maintain hygiene to prevent infections.
Epilepsy,"[""constipation"", ""cough"", ""chest pain"", ""shortness of breath"", ""dizziness"", ""headache"", ""fatigue""]",Maintain hygiene to prevent infections.
Pneumocystis carinii pneumonia,"[""loss of smell"", ""loss of taste"", ""weight loss""]",Follow prescribed medication schedules carefully.
Hypothyroidism,"[""sore throat"", ""dizziness"", ""sleeplessness"", ""tremor"", ""swelling"", ""nausea""]",Quit smoking and avoid alcohol consumption.
Asthma,"[""loss of taste"", ""agitation"", ""constipation""]",Engage in regular physical activity appropriate to your condition.
Parkinson's disease,"[""sore throat"", ""tremor"", ""weight loss"", ""muscle twitch"", ""dizziness"", ""vomiting""]",Get adequate rest and sleep.
Gastroenteritis,"[""joint pain"", ""palpitations"", ""dizziness"", ""cough"", ""constipation"", ""chill"", ""sleeplessness"", ""loss of taste""]",Ensure regular check-ups with your healthcare provider.
COVID-19,"[""cough"", ""loss of taste"", ""dizziness"", ""shortness of breath"", ""joint pain"", ""blurred vision"", ""dizziness"", ""fever""]",Ensure regular check-ups with your healthcare provider. Engage in regular physical activity appropriate to your condition.
Coronary artery disease,"[""cough"", ""rash"", ""fever"", ""muscle twitch""]",Practice stress-reducing techniques like meditation.
Coronary artery disease,"[""loss of smell"", ""agitation"", ""rash"", ""tremor"", ""blurred vision"", ""chill"", ""nausea""]",Follow prescribed medication schedules carefully. Avoid known triggers and allergens.
Epilepsy,"[""diarrhea"", ""shortness of breath"", ""cough"", ""tremor"", ""fever"", ""vomiting"", ""constipation"", ""swelling""]",Ensure regular check-ups with your healthcare provider.
Stroke,"[""sleeplessness"", ""diarrhea"", ""rash""]",Engage in regular physical activity appropriate to your condition. Avoid known triggers and allergens.
Tuberculosis,"[""fever"", ""confusion"", ""cough"", ""nausea"", ""palpitations"", ""dizziness"", ""chill""]",Stay informed and get vaccinated when available.
Hypothyroidism,"[""nausea"", ""loss of taste"", ""muscle twitch""]",Follow prescribed medication schedules carefully.
Adhesion,"[""chest pain"", ""muscle twitch"", ""loss of taste"", ""weight loss""]",Follow prescribed medication schedules carefully. Maintain hygiene to prevent infections.
Hypothyroidism,"[""confusion"", ""swelling"", ""diarrhea"", ""dizziness""]",Avoid known triggers and allergens.
COPD,"[""palpitations"", ""dizziness"", ""sore throat"", ""muscle twitch"", ""loss of taste""]",Ensure regular check-ups with your healthcare provider.
COVID-19,"[""vomiting"", ""fatigue"", ""chill"", ""night sweats""]",Practice stress-reducing techniques like meditation.
Adhesion,"[""confusion"", ""fever"", ""chest pain"", ""loss of smell"", ""agitation"", ""weight loss""]",Engage in regular physical activity appropriate to your condition.
Gastroenteritis,"[""night sweats"", ""dizziness"", ""loss of smell"", ""chill"", ""swelling""]",Ensure regular check-ups with your healthcare provider.
Hypothyroidism,"[""loss of taste"", ""headache"", ""constipation"", ""agitation""]",Follow prescribed medication schedules carefully. Engage in regular physical activity appropriate to your condition.
Gastroenteritis,"[""diarrhea"", ""headache"", ""fever"", ""vomiting"", ""muscle twitch"", ""nausea""]",Quit smoking and avoid alcohol consumption.
Epilepsy,"[""blurred vision"", ""tremor"", ""weight loss"", ""loss of taste"", ""dizziness"", ""headache"", ""night sweats""]",Engage in regular physical activity appropriate to your condition. Ensure regular check-ups with your healthcare provider.
Pneumocystis carinii pneumonia,"[""cough"", ""muscle twitch"", ""agitation"", ""loss of taste"", ""shortness of breath""]",Stay informed and get vaccinated when available.
COPD,"[""sleeplessness"", ""rash"", ""cough"", ""loss of smell"", ""tremor"", ""joint pain"", ""sore throat""]",Maintain a balanced diet and stay hydrated.
Diabetes mellitus,"[""constipation"", ""fever"", ""nausea"", ""diarrhea"", ""joint pain"", ""loss of smell"", ""chill""]",Follow prescribed medication schedules carefully.
Coronary artery disease,"[""loss of smell"", ""headache"", ""chill"", ""nausea"", ""palpitations"", ""dizziness"", ""chill"", ""seizure""]",Get adequate rest and sleep.
Pneumocystis carinii pneumonia,"[""chill"", ""weight loss"", ""rash"", ""confusion"", ""joint pain"", ""fatigue"", ""night sweats""]",Practice stress-reducing techniques like meditation. Stay informed and get vaccinated when available.
Epilepsy,"[""weight loss"", ""dizziness"", ""loss of taste"", ""constipation"", ""joint pain"", ""chill"", ""chill""]",Stay informed and get vaccinated when available. Practice stress-reducing techniques like meditation.
Adenocarcinoma,"[""tremor"", ""blurred vision"", ""agitation""]",Maintain a balanced diet and stay hydrated.
Alzheimer's disease,"[""nausea"", ""muscle twitch"", ""diarrhea""]",Avoid known triggers and allergens. Maintain a balanced diet and stay hydrated.
Depression,"[""joint pain"", ""blurred vision"", ""fever"", ""constipation"", ""dizziness""]",Follow prescribed medication schedules carefully.
Alzheimer's disease,"[""night sweats"", ""palpitations"", ""chill"", ""cough"", ""confusion""]",Stay informed and get vaccinated when available.
Tuberculosis,"[""constipation"", ""weight loss"", ""seizure"", ""diarrhea"", ""muscle twitch"", ""agitation"", ""confusion"", ""shortness of breath""]",Engage in regular physical activity appropriate to your condition. Follow prescribed medication schedules carefully.
Hyperthyroidism,"[""sore throat"", ""dizziness"", ""loss of smell"", ""diarrhea"", ""vomiting""]",Maintain hygiene to prevent infections. Get adequate rest and sleep.
Migraine,"[""weight loss"", ""joint pain"", ""chill"", ""nausea"", ""shortness of breath"", ""confusion""]",Engage in regular physical activity appropriate to your condition.
Adhesion,"[""seizure"", ""diarrhea"", ""loss of taste"", ""nausea"", ""palpitations"", ""weight loss""]",Quit smoking and avoid alcohol consumption. Practice stress-reducing techniques like meditation.
Hyperthyroidism,"[""chill"", ""sore throat"", ""nausea"", ""loss of smell"", ""vomiting""]",Maintain hygiene to prevent infections. Practice stress-reducing techniques like meditation.
Migraine,"[""joint pain"", ""night sweats"", ""tremor"", ""loss of taste""]",Follow prescribed medication schedules carefully.
COVID-19,"[""sleeplessness"", ""confusion"", ""sore throat"", ""joint pain"", ""headache"", ""weight loss"", ""seizure"", ""loss of taste""]",Ensure regular check-ups with your healthcare provider.
Depression,"[""joint pain"", ""loss of smell"", ""chill"", ""cough"", ""chest pain"", ""vomiting""]",Get adequate rest and sleep. Maintain hygiene to prevent infections.
Hypertension,"[""chill"", ""muscle twitch"", ""fever"", ""loss of taste""]",Quit smoking and avoid alcohol consumption. Get adequate rest and sleep.
Migraine,"[""chill"", ""sleeplessness"", ""joint pain"", ""headache"", ""constipation"", ""weight loss"", ""tremor""]",Maintain a balanced diet and stay hydrated.
Anemia,"[""muscle twitch"", ""loss of taste"", ""chill""]",Practice stress-reducing techniques like meditation.
Adenocarcinoma,"[""dizziness"", ""agitation"", ""night sweats"", ""dizziness"", ""palpitations""]",Maintain a balanced diet and stay hydrated.
Coronary artery disease,"[""palpitations"", ""constipation"", ""loss of taste"", ""diarrhea"", ""agitation"", ""chill"", ""joint pain"", ""weight loss""]",Maintain a balanced diet and stay hydrated.
Pneumocystis carinii pneumonia,"[""confusion"", ""chill"", ""agitation"", ""weight loss""]",Quit smoking and avoid alcohol consumption.
Epilepsy,"[""headache"", ""sleeplessness"", ""fatigue"", ""rash"", ""cough"", ""constipation"", ""tremor""]",Maintain hygiene to prevent infections.
Tuberculosis,"[""rash"", ""loss of smell"", ""swelling"", ""cough"", ""sore throat"", ""dizziness"", ""seizure"", ""blurred vision""]",Follow prescribed medication schedules carefully.
Asthma,"[""chill"", ""palpitations"", ""chill"", ""blurred vision"", ""dizziness"", ""joint pain"", ""fatigue""]",Get adequate rest and sleep. Engage in regular physical activity appropriate to your condition.
Adenocarcinoma,"[""dizziness"", ""agitation"", ""nausea"", ""night sweats"", ""fever""]",Avoid known triggers and allergens.
Depression,"[""tremor"", ""seizure"", ""diarrhea"", ""dizziness"", ""chill""]",Ensure regular check-ups with your healthcare provider.
Pneumocystis carinii pneumonia,"[""muscle twitch"", ""rash"", ""constipation"", ""diarrhea"", ""loss of smell"", ""fatigue"", ""palpitations"", ""vomiting""]",Quit smoking and avoid alcohol consumption.
Epilepsy,"[""cough"", ""seizure"", ""fatigue"", ""night sweats"", ""sleeplessness"", ""chill"", ""headache"", ""palpitations""]",Engage in regular physical activity appropriate to your condition.
Hypothyroidism,"[""headache"", ""constipation"", ""palpitations"", ""diarrhea"", ""chest pain""]",Engage in regular physical activity appropriate to your condition. Maintain hygiene to prevent infections.
Hypertension,"[""seizure"", ""loss of smell"", ""nausea""]",Quit smoking and avoid alcohol consumption.
Parkinson's disease,"[""chill"", ""sore throat"", ""fever"", ""dizziness""]",Stay informed and get vaccinated when available.
COVID-19,"[""sleeplessness"", ""vomiting"", ""dizziness"", ""shortness of breath"", ""chest pain"", ""fever"", ""weight loss""]",Get adequate rest and sleep. Stay informed and get vaccinated when available.
Diabetes mellitus,"[""confusion"", ""seizure"", ""chill"", ""night sweats"", ""loss of taste""]",Ensure regular check-ups with your healthcare provider. Quit smoking and avoid alcohol consumption.
Stroke,"[""blurred vision"", ""tremor"", ""rash"", ""diarrhea"", ""agitation"", ""sore throat"", ""chest pain""]",Maintain hygiene to prevent infections.
Hypothyroidism,"[""cough"", ""dizziness"", ""loss of taste"", ""loss of smell""]",Practice stress-reducing techniques like meditation.
Pneumocystis carinii pneumonia,"[""joint pain"", ""seizure"", ""blurred vision""]",Quit smoking and avoid alcohol consumption.
Anemia,"[""joint pain"", ""blurred vision"", ""sleeplessness""]",Quit smoking and avoid alcohol consumption.
Gastroenteritis,"[""fatigue"", ""seizure"", ""headache""]",Avoid known triggers and allergens.
COPD,"[""fever"", ""chest pain"", ""night sweats"", ""confusion"", ""dizziness"", ""loss of taste"", ""fatigue"", ""dizziness""]",Stay informed and get vaccinated when available.
Stroke,"[""weight loss"", ""agitation"", ""chill"", ""sleeplessness"", ""rash""]",Avoid known triggers and allergens. Follow prescribed medication schedules carefully.
Asthma,"[""cough"", ""confusion"", ""chest pain"", ""loss of smell"", ""dizziness"", ""fatigue"", ""loss of taste"", ""agitation""]",Stay informed and get vaccinated when available. Maintain hygiene to prevent infections.
Gastroenteritis,"[""tremor"", ""rash"", ""swelling"", ""sleeplessness"", ""loss of smell"", ""sore throat"", ""chill""]",Engage in regular physical activity appropriate to your condition. Quit smoking and avoid alcohol consumption.
Rheumatoid arthritis,"[""nausea"", ""vomiting"", ""night sweats"", ""confusion"", ""blurred vision""]",Practice stress-reducing techniques like meditation. Engage in regular physical activity appropriate to your condition.
Asthma,"[""joint pain"", ""palpitations"", ""dizziness"", ""swelling"", ""chill"", ""weight loss"", ""diarrhea""]",Engage in regular physical activity appropriate to your condition. Follow prescribed medication schedules carefully.
Diabetes mellitus,"[""fever"", ""joint pain"", ""cough""]",Maintain hygiene to prevent infections.
COVID-19,"[""cough"", ""agitation"", ""loss of taste"", ""chill"", ""headache""]",Engage in regular physical activity appropriate to your condition. Stay informed and get vaccinated when available.
Gastroenteritis,"[""sore throat"", ""swelling"", ""muscle twitch"", ""shortness of breath"", ""dizziness"", ""tremor""]",Follow prescribed medication schedules carefully.
COPD,"[""muscle twitch"", ""vomiting"", ""shortness of breath""]",Follow prescribed medication schedules carefully. Engage in regular physical activity appropriate to your condition.
Tuberculosis,"[""palpitations"", ""fatigue"", ""constipation"", ""sore throat"", ""loss of smell"", ""confusion"", ""vomiting"", ""night sweats""]",Ensure regular check-ups with your healthcare provider.
Anemia,"[""cough"", ""agitation"", ""palpitations"", ""vomiting"", ""chill"", ""tremor"", ""dizziness"", ""nausea""]",Stay informed and get vaccinated when available.
Coronary artery disease,"[""seizure"", ""loss of smell"", ""joint pain""]",Practice stress-reducing techniques like meditation.
Hypertension,"[""constipation"", ""agitation"", ""confusion"", ""fatigue"", ""sleeplessness""]",Maintain a balanced diet and stay hydrated.
Asthma,"[""blurred vision"", ""chill"", ""palpitations"", ""seizure"", ""headache"", ""dizziness""]",Follow prescribed medication schedules carefully.
Hypertension,"[""joint pain"", ""headache"", ""chill"", ""confusion""]",Get adequate rest and sleep.
Diabetes mellitus,"[""weight loss"", ""vomiting"", ""seizure"", ""chill""]",Maintain hygiene to prevent infections.
Adenocarcinoma,"[""seizure"", ""dizziness"", ""cough"", ""sore throat"", ""sleeplessness"", ""joint pain"", ""muscle twitch"", ""palpitations""]",Quit smoking and avoid alcohol consumption. Follow prescribed medication schedules carefully.
Hypothyroidism,"[""constipation"", ""fever"", ""chill"", ""agitation"", ""joint pain""]",Quit smoking and avoid alcohol consumption. Engage in regular physical activity appropriate to your condition.
Hyperthyroidism,"[""joint pain"", ""swelling"", ""confusion"", ""shortness of breath"", ""chill"", ""weight loss"", ""loss of taste""]",Stay informed and get vaccinated when available.
Parkinson's disease,"[""headache"", ""seizure"", ""night sweats""]",Maintain a balanced diet and stay hydrated.
Diabetes mellitus,"[""weight loss"", ""agitation"", ""sleeplessness"", ""night sweats"", ""loss of smell""]",Quit smoking and avoid alcohol consumption.
Hyperthyroidism,"[""shortness of breath"", ""palpitations"", ""confusion"", ""swelling"", ""dizziness""]",Stay informed and get vaccinated when available.
Asthma,"[""swelling"", ""confusion"", ""headache""]",Maintain a balanced diet and stay hydrated.
Hypothyroidism,"[""fatigue"", ""diarrhea"", ""palpitations"", ""dizziness"", ""weight loss"", ""sleeplessness"", ""night sweats"", ""nausea""]",Maintain hygiene to prevent infections.
Epilepsy,"[""muscle twitch"", ""fever"", ""confusion""]",Get adequate rest and sleep.
Gastroenteritis,"[""fever"", ""tremor"", ""loss of taste"", ""dizziness"", ""headache"", ""diarrhea"", ""chill""]",Get adequate rest and sleep. Avoid known triggers and allergens.
Anemia,"[""chill"", ""fatigue"", ""weight loss"", ""night sweats"", ""swelling"", ""diarrhea""]",Stay informed and get vaccinated when available.
Anemia,"[""confusion"", ""vomiting"", ""joint pain"", ""loss of taste"", ""shortness of breath"", ""seizure""]",Engage in regular physical activity appropriate to your condition. Get adequate rest and sleep.
Gastroenteritis,"[""chill"", ""fatigue"", ""rash"", ""joint pain""]",Stay informed and get vaccinated when available.
Rheumatoid arthritis,"[""cough"", ""fever"", ""swelling"", ""palpitations""]",Get adequate rest and sleep.
Coronary artery disease,"[""joint pain"", ""dizziness"", ""loss of smell"", ""fatigue"", ""dizziness""]",Quit smoking and avoid alcohol consumption.
Pneumocystis carinii pneumonia,"[""diarrhea"", ""seizure"", ""rash""]",Engage in regular physical activity appropriate to your condition.
Rheumatoid arthritis,"[""fatigue"", ""chill"", ""loss of smell"", ""palpitations"", ""vomiting"", ""joint pain""]",Maintain a balanced diet and stay hydrated.
Coronary artery disease,"[""loss of taste"", ""weight loss"", ""loss of smell"", ""cough"", ""headache"", ""fatigue"", ""fever"", ""blurred vision""]",Engage in regular physical activity appropriate to your condition.
Anemia,"[""sore throat"", ""joint pain"", ""fever"", ""blurred vision"", ""chill""]",Quit smoking and avoid alcohol consumption. Follow prescribed medication schedules carefully.
Anemia,"[""headache"", ""loss of taste"", ""nausea"", ""dizziness"", ""sleeplessness"", ""fever"", ""chill"", ""fatigue""]",Quit smoking and avoid alcohol consumption.
Depression,"[""cough"", ""rash"", ""night sweats"", ""swelling"", ""vomiting""]",Ensure regular check-ups with your healthcare provider.
Rheumatoid arthritis,"[""confusion"", ""dizziness"", ""loss of taste"", ""chill""]",Maintain hygiene to prevent infections.
COVID-19,"[""confusion"", ""rash"", ""agitation"", ""joint pain""]",Get adequate rest and sleep. Maintain a balanced diet and stay hydrated.
Hyperthyroidism,"[""loss of smell"", ""nausea"", ""tremor""]",Get adequate rest and sleep. Ensure regular check-ups with your healthcare provider.
Stroke,"[""fever"", ""dizziness"", ""loss of smell"", ""night sweats"", ""palpitations"", ""vomiting"", ""dizziness"", ""confusion""]",Maintain hygiene to prevent infections.
Migraine,"[""seizure"", ""rash"", ""cough"", ""chest pain"", ""headache""]",Ensure regular check-ups with your healthcare provider. Maintain a balanced diet and stay hydrated.
Tuberculosis,"[""fever"", ""headache"", ""dizziness"", ""fatigue"", ""muscle twitch"", ""chest pain"", ""night sweats"", ""loss of taste""]",Quit smoking and avoid alcohol consumption.
Anemia,"[""tremor"", ""cough"", ""joint pain"", ""loss of smell"", ""headache"", ""muscle twitch""]",Practice stress-reducing techniques like meditation.
Migraine,"[""joint pain"", ""muscle twitch"", ""vomiting"", ""blurred vision"", ""weight loss""]",Quit smoking and avoid alcohol consumption. Maintain a balanced diet and stay hydrated.
Coronary artery disease,"[""sore throat"", ""weight loss"", ""rash"", ""diarrhea"", ""night sweats"", ""blurred vision"", ""nausea""]",Engage in regular physical activity appropriate to your condition.
Asthma,"[""agitation"", ""rash"", ""fatigue"", ""shortness of breath"", ""loss of smell"", ""cough"", ""tremor"", ""night sweats""]",Engage in regular physical activity appropriate to your condition. Avoid known triggers and allergens.
Hypothyroidism,"[""sleeplessness"", ""diarrhea"", ""vomiting"", ""fatigue""]",Get adequate rest and sleep. Engage in regular physical activity appropriate to your condition.
Adenocarcinoma,"[""swelling"", ""muscle twitch"", ""sleeplessness"", ""agitation"", ""shortness of breath"", ""loss of taste"", ""joint pain""]",Engage in regular physical activity appropriate to your condition.
Rheumatoid arthritis,"[""headache"", ""rash"", ""agitation"", ""dizziness"", ""nausea""]",Quit smoking and avoid alcohol consumption.
Epilepsy,"[""chest pain"", ""diarrhea"", ""palpitations""]",Follow prescribed medication schedules carefully.
Gastroenteritis,"[""dizziness"", ""diarrhea"", ""chill"", ""rash"", ""swelling"", ""constipation"", ""chest pain"", ""joint pain""]",Maintain a balanced diet and stay hydrated.
Rheumatoid arthritis,"[""seizure"", ""chill"", ""headache"", ""agitation"", ""shortness of breath"", ""vomiting"", ""sleeplessness""]",Quit smoking and avoid alcohol consumption.
Hypertension,"[""seizure"", ""headache"", ""dizziness"", ""fatigue""]",Avoid known triggers and allergens. Ensure regular check-ups with your healthcare provider.
Asthma,"[""night sweats"", ""chest pain"", ""dizziness"", ""confusion"", ""weight loss"", ""cough"", ""sore throat"", ""blurred vision""]",Stay informed and get vaccinated when available.
Coronary artery disease,"[""tremor"", ""fatigue"", ""cough""]",Ensure regular check-ups with your healthcare provider.
COPD,"[""loss of smell"", ""vomiting"", ""dizziness"", ""sleeplessness"", ""swelling"", ""diarrhea"", ""shortness of breath"", ""nausea""]",Follow prescribed medication schedules carefully.
Tuberculosis,"[""fever"", ""swelling"", ""fatigue"", ""night sweats"", ""dizziness"", ""shortness of breath""]",Maintain hygiene to prevent infections.
Depression,"[""chill"", ""blurred vision"", ""diarrhea"", ""sore throat"", ""rash"", ""nausea"", ""confusion"", ""sleeplessness""]",Maintain a balanced diet and stay hydrated.
Depression,"[""fatigue"", ""muscle twitch"", ""chest pain""]",Engage in regular physical activity appropriate to your condition.
Coronary artery disease,"[""palpitations"", ""dizziness"", ""rash"", ""confusion"", ""sore throat"", ""nausea""]",Follow prescribed medication schedules carefully.
Adhesion,"[""night sweats"", ""fever"", ""loss of taste"", ""sore throat"", ""dizziness"", ""chill"", ""confusion""]",Quit smoking and avoid alcohol consumption.
Tuberculosis,"[""shortness of breath"", ""swelling"", ""chest pain"", ""palpitations"", ""headache"", ""seizure"", ""constipation""]",Engage in regular physical activity appropriate to your condition.
Pneumocystis carinii pneumonia,"[""diarrhea"", ""night sweats"", ""muscle twitch"", ""chill"", ""chill"", ""fever"", ""sleeplessness"", ""fatigue""]",Follow prescribed medication schedules carefully.
Hypothyroidism,"[""joint pain"", ""dizziness"", ""palpitations"", ""chest pain"", ""nausea"", ""tremor""]",Quit smoking and avoid alcohol consumption. Ensure regular check-ups with your healthcare provider.
Alzheimer's disease,"[""chill"", ""muscle twitch"", ""loss of taste"", ""swelling"", ""night sweats"", ""headache"", ""fever"", ""palpitations""]",Stay informed and get vaccinated when available.
Migraine,"[""shortness of breath"", ""diarrhea"", ""vomiting"", ""tremor"", ""chest pain"", ""cough"", ""blurred vision""]",Maintain hygiene to prevent infections. Follow prescribed medication schedules carefully.
Coronary artery disease,"[""tremor"", ""shortness of breath"", ""confusion"", ""weight loss"", ""chill"", ""constipation"", ""chest pain""]",Maintain a balanced diet and stay hydrated. Stay informed and get vaccinated when available.
Hyperthyroidism,"[""night sweats"", ""constipation"", ""sore throat""]",Stay informed and get vaccinated when available.
Anemia,"[""dizziness"", ""shortness of breath"", ""dizziness"", ""headache"", ""seizure""]",Maintain hygiene to prevent infections.
Rheumatoid arthritis,"[""loss of taste"", ""confusion"", ""palpitations"", ""night sweats"", ""shortness of breath""]",Follow prescribed medication schedules carefully. Avoid known triggers and allergens.
Rheumatoid arthritis,"[""loss of smell"", ""night sweats"", ""muscle twitch"", ""fever""]",Maintain hygiene to prevent infections. Practice stress-reducing techniques like meditation.
Hypertension,"[""blurred vision"", ""agitation"", ""joint pain"", ""dizziness"", ""cough"", ""night sweats"", ""diarrhea""]",Ensure regular check-ups with your healthcare provider.
Parkinson's disease,"[""shortness of breath"", ""rash"", ""diarrhea"", ""tremor"", ""sleeplessness"", ""chest pain"", ""confusion""]",Practice stress-reducing techniques like meditation.
Coronary artery disease,"[""fatigue"", ""shortness of breath"", ""weight loss"", ""chill"", ""rash""]",Quit smoking and avoid alcohol consumption.
COPD,"[""blurred vision"", ""fever"", ""vomiting"", ""headache"", ""chill""]",Maintain a balanced diet and stay hydrated.
Epilepsy,"[""swelling"", ""joint pain"", ""fever"", ""palpitations"", ""loss of smell"", ""confusion"", ""fatigue""]",Engage in regular physical activity appropriate to your condition. Get adequate rest and sleep.
COVID-19,"[""muscle twitch"", ""chest pain"", ""nausea"", ""night sweats"", ""dizziness"", ""swelling"", ""chill""]",Engage in regular physical activity appropriate to your condition.
Coronary artery disease,"[""agitation"", ""night sweats"", ""fatigue"", ""palpitations"", ""seizure""]",Ensure regular check-ups with your healthcare provider. Stay informed and get vaccinated when available.
COVID-19,"[""night sweats"", ""chill"", ""palpitations"", ""dizziness"", ""diarrhea"", ""constipation""]",Get adequate rest and sleep.
Gastroenteritis,"[""rash"", ""confusion"", ""chill""]",Ensure regular check-ups with your healthcare provider.
Alzheimer's disease,"[""tremor"", ""dizziness"", ""fatigue"", ""nausea""]",Stay informed and get vaccinated when available.
Tuberculosis,"[""dizziness"", ""weight loss"", ""sleeplessness"", ""diarrhea"", ""palpitations"", ""joint pain"", ""night sweats""]",Stay informed and get vaccinated when available.
Epilepsy,"[""chest pain"", ""dizziness"", ""headache"", ""chill"", ""agitation"", ""muscle twitch"", ""night sweats"", ""sore throat""]",Get adequate rest and sleep.
Tuberculosis,"[""fatigue"", ""dizziness"", ""swelling"", ""agitation"", ""confusion""]",Quit smoking and avoid alcohol consumption. Get adequate rest and sleep.
Rheumatoid arthritis,"[""sore throat"", ""cough"", ""fever""]",Avoid known triggers and allergens. Maintain hygiene to prevent infections.
Hyperthyroidism,"[""palpitations"", ""seizure"", ""constipation"", ""dizziness"", ""tremor"", ""fever""]",Follow prescribed medication schedules carefully.
Anemia,"[""swelling"", ""night sweats"", ""muscle twitch"", ""sleeplessness"", ""blurred vision""]",Engage in regular physical activity appropriate to your condition. Get adequate rest and sleep.
